"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.44406,0.092377,-1.6821e-18,0.0067707,5.6848e-09,86771,-9.6652,1,0,-0.01,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00031,-0.00969,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00062,-0.00938,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00093,-0.00907,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00124,-0.00876,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00155,-0.00845,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00186,-0.00814,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00217,-0.00783,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00248,-0.00752,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00279,-0.00721,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0031,-0.0069,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00341,-0.00659,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00372,-0.00628,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00403,-0.00597,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00434,-0.00566,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00465,-0.00535,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00496,-0.00504,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00527,-0.00473,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00558,-0.00442,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00589,-0.00411,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0062,-0.0038,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00651,-0.00349,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00682,-0.00318,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00713,-0.00287,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00744,-0.00256,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00775,-0.00225,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00806,-0.00194,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00837,-0.00163,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00868,-0.00132,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00899,-0.00101,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0093,-0.0007,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00961,-0.00039,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00992,-8e-05,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01023,0.00023,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01054,0.00054,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01085,0.00085,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01116,0.00116,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01147,0.00147,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01178,0.00178,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01209,0.00209,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0124,0.0024,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01271,0.00271,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01302,0.00302,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01333,0.00333,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01364,0.00364,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01395,0.00395,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01426,0.00426,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01457,0.00457,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01488,0.00488,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01519,0.00519,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0155,0.0055,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01581,0.00581,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01612,0.00612,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01643,0.00643,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01674,0.00674,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01705,0.00705,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01736,0.00736,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01767,0.00767,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01798,0.00798,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01829,0.00829,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0186,0.0086,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01891,0.00891,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01922,0.00922,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01953,0.00953,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.01984,0.00984,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02015,0.01015,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02046,0.01046,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02077,0.01077,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02108,0.01108,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02139,0.01139,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0217,0.0117,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02201,0.01201,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02232,0.01232,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02263,0.01263,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02294,0.01294,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02325,0.01325,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02356,0.01356,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02387,0.01387,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02418,0.01418,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02449,0.01449,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0248,0.0148,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02511,0.01511,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02542,0.01542,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02573,0.01573,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02604,0.01604,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02635,0.01635,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02666,0.01666,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02697,0.01697,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02728,0.01728,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02759,0.01759,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0279,0.0179,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02821,0.01821,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02852,0.01852,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02883,0.01883,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02914,0.01914,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02945,0.01945,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.02976,0.01976,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03007,0.02007,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03038,0.02038,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03069,0.02069,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.031,0.021,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03131,0.02131,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03162,0.02162,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03193,0.02193,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03224,0.02224,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03255,0.02255,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03286,0.02286,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03317,0.02317,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03348,0.02348,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03379,0.02379,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0341,0.0241,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03441,0.02441,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03472,0.02472,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03503,0.02503,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03534,0.02534,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03565,0.02565,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03596,0.02596,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03627,0.02627,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03658,0.02658,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03689,0.02689,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0372,0.0272,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03751,0.02751,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03782,0.02782,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03813,0.02813,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03844,0.02844,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03875,0.02875,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03906,0.02906,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03937,0.02937,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03968,0.02968,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.03999,0.02999,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0403,0.0303,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04061,0.03061,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04092,0.03092,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04123,0.03123,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04154,0.03154,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04185,0.03185,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04216,0.03216,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04247,0.03247,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04278,0.03278,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04309,0.03309,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0434,0.0334,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04371,0.03371,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04402,0.03402,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04433,0.03433,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04464,0.03464,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.04495,0.03495,0.049,0
