"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1144,0.23997,-1.4791e-18,0.060882,1.5974e-07,36558,-10.859,1,0,-0.01,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00016,-0.00984,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00032,-0.00968,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00048,-0.00952,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00064,-0.00936,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0008,-0.0092,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00096,-0.00904,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00112,-0.00888,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00128,-0.00872,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00144,-0.00856,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0016,-0.0084,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00176,-0.00824,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00192,-0.00808,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00208,-0.00792,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00224,-0.00776,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0024,-0.0076,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00256,-0.00744,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00272,-0.00728,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00288,-0.00712,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00304,-0.00696,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0032,-0.0068,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00336,-0.00664,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00352,-0.00648,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00368,-0.00632,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00384,-0.00616,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.004,-0.006,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00416,-0.00584,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00432,-0.00568,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00448,-0.00552,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00464,-0.00536,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0048,-0.0052,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00496,-0.00504,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00512,-0.00488,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00528,-0.00472,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00544,-0.00456,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0056,-0.0044,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00576,-0.00424,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00592,-0.00408,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00608,-0.00392,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00624,-0.00376,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0064,-0.0036,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00656,-0.00344,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00672,-0.00328,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00688,-0.00312,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00704,-0.00296,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.0072,-0.0028,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00736,-0.00264,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00752,-0.00248,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00768,-0.00232,0.049,0
nan,nan,nan,nan,nan,nan,nan,0,0.00784,-0.00216,0.049,0
