Points_0,p,U_0
-0.0499691,8.45907,0.000726463
-0.0499719,8.46352,0.000544757
-0.0499609,8.44723,0.00123312
-0.0499472,8.42955,0.00203114
-0.0499281,8.40602,0.00311885
-0.0499034,8.37666,0.00449573
-0.0498733,8.34148,0.00616032
-0.0498377,8.30051,0.00811103
-0.0497966,8.25378,0.0103458
-0.0497501,8.20132,0.0128627
-0.0496981,8.14316,0.015659
-0.0496407,8.07932,0.0187327
-0.0495778,8.00986,0.0220805
-0.0495095,7.93481,0.0256999
-0.0494358,7.85421,0.0295875
-0.0493567,7.7681,0.0337404
-0.0492721,7.67653,0.0381548
-0.0491821,7.57955,0.0428272
-0.0490867,7.4772,0.0477536
-0.048986,7.36954,0.05293
-0.0488799,7.25664,0.0583522
-0.0487684,7.13854,0.0640157
-0.0486516,7.0153,0.0699159
-0.0485294,6.88698,0.0760479
-0.0484019,6.75366,0.0824066
-0.0482691,6.61541,0.0889867
-0.0481311,6.47227,0.0957827
-0.0479877,6.32436,0.102789
-0.0478391,6.17171,0.11
-0.0476852,6.01443,0.117408
-0.0475261,5.85259,0.125009
-0.0473618,5.68627,0.132794
-0.0471923,5.51556,0.140759
-0.0470176,5.34056,0.148897
-0.0468378,5.16134,0.157198
-0.0466528,4.97801,0.165657
-0.0464627,4.79067,0.174268
-0.0462675,4.59941,0.18302
-0.0460672,4.40433,0.191908
-0.0458619,4.20554,0.200924
-0.0456516,4.00315,0.210059
-0.0454362,3.79725,0.219306
-0.0452159,3.58797,0.228656
-0.0449906,3.37541,0.2381
-0.0447604,3.1597,0.247631
-0.0445253,2.94094,0.25724
-0.0442853,2.71925,0.266918
-0.0440404,2.49476,0.276658
-0.0437907,2.26759,0.286449
-0.0435362,2.03786,0.296283
-0.0432769,1.8057,0.30615
-0.0430129,1.57122,0.316041
-0.0427442,1.33458,0.325947
-0.0424707,1.09589,0.335858
-0.0421927,0.855298,0.345766
-0.04191,0.612933,0.355658
-0.0416226,0.368935,0.365526
-0.0413308,0.123446,0.37536
-0.0410344,-0.123392,0.385151
-0.0407335,-0.37144,0.394886
-0.0404281,-0.620534,0.404577
-0.0401183,-0.870643,0.414189
-0.0398041,-1.12151,0.423701
-0.0394855,-1.37294,0.433129
-0.0391626,-1.6249,0.442472
-0.0388355,-1.87725,0.45169
-0.038504,-2.12976,0.460771
-0.0381683,-2.38224,0.469733
-0.0378285,-2.63464,0.47857
-0.0374845,-2.88685,0.487243
-0.0371363,-3.13861,0.495736
-0.0367842,-3.38973,0.504067
-0.0364279,-3.64016,0.51223
-0.0360677,-3.88974,0.52019
-0.0357036,-4.13826,0.527932
-0.0353355,-4.38554,0.535471
-0.0349635,-4.63148,0.542799
-0.0345877,-4.87595,0.549883
-0.0342081,-5.1187,0.556709
-0.0338248,-5.35957,0.563287
-0.0334377,-5.59845,0.569613
-0.033047,-5.8352,0.575657
-0.0326527,-6.06958,0.581405
-0.0322547,-6.30144,0.586866
-0.0318533,-6.53066,0.592031
-0.0314483,-6.75708,0.596874
-0.0310399,-6.9805,0.601379
-0.0306281,-7.20073,0.605551
-0.030213,-7.41764,0.609383
-0.0297945,-7.63107,0.612852
