Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p
100,-0.05,0,0,0.05,0.00483575,0.0245441,0,0.0250159,7.21E-05,0,87767.9,8.35971
99,-0.0499938,0.000785366,0,0.05,0.00565244,0.0489811,3.41E-19,0.0493062,0.000152065,0,87768.2,8.35334
98,-0.0499753,0.00157054,0,0.05,0.00803214,0.0978416,3.41E-19,0.0981707,0.000384126,0,87769,8.33432
97,-0.0499445,0.00235532,0,0.05,0.0119143,0.146688,0,0.147171,0.000762563,0,87770.4,8.30263
96,-0.0499013,0.00313953,0,0.05,0.0173187,0.195407,5.18E-23,0.196173,0.00128749,0,87772.2,8.25822
95,-0.0498459,0.00392295,0,0.05,0.0242489,0.243844,-1.08E-18,0.245047,0.00195774,0,87774.6,8.2012
94,-0.0497781,0.00470542,0,0.05,0.0326894,0.291956,-1.08E-18,0.293781,0.00277389,0,87777.5,8.13164
93,-0.049698,0.00548672,0,0.05,0.0426246,0.339702,0,0.342365,0.00373489,0,87780.9,8.04959
92,-0.0496057,0.00626666,0,0.05,0.0540394,0.387015,-2.27E-19,0.39077,0.00483815,0,87784.8,7.95513
91,-0.0495012,0.00704506,0,0.05,0.066917,0.43383,-8.97E-21,0.438961,0.00608226,0,87789.2,7.84836
90,-0.0493844,0.00782172,0,0.05,0.0812368,0.480083,2.18E-19,0.486907,0.00746484,0,87794.1,7.72941
89,-0.0492555,0.00859645,0,0.05,0.0969746,0.525707,0,0.534577,0.00898146,0,87799.5,7.5984
88,-0.0491144,0.00936907,0,0.05,0.114105,0.57064,0,0.581936,0.0106285,0,87805.3,7.45545
87,-0.0489611,0.0101394,0,0.05,0.132598,0.614815,1.39E-18,0.628951,0.0124022,0,87811.5,7.30075
86,-0.0487958,0.0109072,0,0.05,0.152422,0.658168,1.39E-18,0.675587,0.0142983,0,87818.2,7.13445
85,-0.0486185,0.0116723,0,0.05,0.173542,0.700635,-3.05E-19,0.721808,0.0163124,0,87825.4,6.95676
84,-0.0484292,0.0124345,0,0.05,0.19592,0.742155,-8.40E-21,0.76758,0.0184394,0,87833,6.76787
83,-0.0482279,0.0131937,0,0.05,0.219516,0.782667,1.40E-18,0.812868,0.0206739,0,87840.8,6.56803
82,-0.0480147,0.0139496,0,0.05,0.244287,0.82211,1.10E-18,0.857637,0.0230104,0,87849.1,6.35745
81,-0.0477897,0.014702,0,0.05,0.270187,0.860426,-9.70E-19,0.90185,0.0254427,0,87857.7,6.13639
80,-0.0475528,0.0154509,0,0.05,0.297167,0.897559,-9.70E-19,0.945474,0.0279646,0,87866.7,5.90514
79,-0.0473043,0.0161959,0,0.05,0.325177,0.933454,0,0.988472,0.0305692,0,87875.9,5.66395
78,-0.047044,0.0169369,0,0.05,0.354162,0.968058,1.93E-19,1.03081,0.0332497,0,87885.3,5.41315
77,-0.0467722,0.0176737,0,0.05,0.384068,1.00132,1.83E-19,1.07245,0.0359999,0,87895,5.15305
76,-0.0464888,0.0184062,0,0.05,0.414837,1.03319,-8.64E-19,1.11336,0.0388126,0,87905,4.88396
75,-0.046194,0.0191342,0,0.05,0.446409,1.06362,-2.30E-19,1.15351,0.0416788,0,87915.1,4.60622
74,-0.0458877,0.0198574,0,0.05,0.47872,1.09258,6.26E-19,1.19286,0.0445902,0,87925.4,4.32019
73,-0.0455702,0.0205757,0,0.05,0.511706,1.12001,1.50E-21,1.23136,0.0475385,0,87935.9,4.02624
72,-0.0452414,0.021289,0,0.05,0.545301,1.14587,-8.28E-19,1.269,0.0505152,0,87946.4,3.72474
71,-0.0449014,0.021997,0,0.05,0.579437,1.17014,-9.39E-19,1.30574,0.0535119,0,87957,3.41606
70,-0.0445503,0.0226995,0,0.05,0.614045,1.19276,-1.10E-19,1.34154,0.0565197,0,87967.6,3.10064
69,-0.0441883,0.0233965,0,0.05,0.649053,1.21373,5.76E-19,1.37638,0.0595299,0,87978.2,2.77886
68,-0.0438153,0.0240877,0,0.05,0.684386,1.233,6.51E-19,1.4102,0.0625335,0,87988.8,2.45116
67,-0.0434316,0.0247729,0,0.05,0.71997,1.25055,1.28E-19,1.44299,0.0655214,0,87999.4,2.11794
66,-0.0430371,0.0254521,0,0.05,0.755729,1.26635,-3.36E-19,1.47471,0.0684842,0,88009.8,1.77968
65,-0.042632,0.0261249,0,0.05,0.791585,1.28039,-1.67E-19,1.50532,0.0714127,0,88020.1,1.4368
64,-0.0422164,0.0267913,0,0.05,0.827457,1.29264,2.54E-19,1.5348,0.0742975,0,88030.3,1.08976
63,-0.0417904,0.0274511,0,0.05,0.863265,1.3031,1.51E-19,1.5631,0.0771291,0,88040.3,0.739039
62,-0.041354,0.0281042,0,0.05,0.898926,1.31174,1.57E-19,1.59019,0.0798981,0,88050.1,0.385102
61,-0.0409075,0.0287503,0,0.05,0.934357,1.31855,-5.02E-20,1.61605,0.0825951,0,88059.6,0.0284335
60,-0.0404508,0.0293893,0,0.05,0.969474,1.32354,4.02E-20,1.64063,0.0852107,0,88068.8,-0.330477
59,-0.0399842,0.030021,0,0.05,1.00419,1.3267,1.27E-19,1.6639,0.0877354,0,88077.8,-0.691134
58,-0.0395078,0.0306454,0,0.05,1.03842,1.32803,0,1.68582,0.0901597,0,88086.4,-1.05303
57,-0.0390215,0.0312621,0,0.05,1.07206,1.32752,3.64E-19,1.70635,0.0924738,0,88094.5,-1.41566
